name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
"BENGAL GRAM, whole",9.8,17.1,5.3,3,3.9,60.9,360,202,312,4.6,119,37.3,808,1.18,1.21,0.15,6.1,0.01,179,58,189,0.3,0.15,2.9,0,34,186,3,194,2.74,160,440,50,360,80,220,580,320,310,570,180,80,0,0,0,0,0,0,0,0,0,0,0,0,2,158,51,28.3,25.2,3.1
"BENGAL GRAM, dhal",9.9,20.8,5.6,2.7,1.2,59.8,372,56,331,5.3,130,73.2,720,1.34,1.05,0.2,1.7,0,160,39,129,0.48,0.18,2.4,0,32,147.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.07,0,0,0,0.57,0,1.2,1.2,3.5,0.2,3.7,5,133,40,15.3,12.7,2.6
"BENGAL GRAM, roasted",10.7,22.5,5.2,2.5,1,58.1,369,58,340,9.5,0,0,0,0,0,0,0,0,0,0,113,0.2,0,1.3,0,22,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,159,47,11.7,7.6,4.1
"BLACK GRAM, dhal",10.9,24,1.4,3.2,0.9,59.6,347,154,385,3.8,130,39.8,800,0.93,0.96,0.43,3,0.03,174,9,38,0.42,0.2,2,0,24,132,0,206,3.84,170,400,70,310,90,220,500,340,310,520,140,80,0.2,0.05,0,0,0,0.3,0,0.2,0.2,0.1,0.7,0.8,16,169,43,0,0,0
COW PEA,13.4,24.1,1,3.2,3.8,54.5,323,77,414,8.6,210,23.2,1131,0.87,1.34,1.89,4.6,0.03,165,10,12,0.51,0.2,1.3,0,69,133,0,202,3.86,200,430,70,320,90,230,480,270,310,420,230,80,0.6,0.1,0,0.08,0,0.8,0,0.2,0.2,0.8,0.5,1.3,9,185,45,0,0,0
"FIELD BEAN, dry",9.6,24.9,0.8,3.2,1.4,60.1,347,60,433,2.7,0,0,0,0,0,0,0,0,0,0,0,0.52,0.16,1.8,0,0,0,0,352,3.98,180,500,30,330,40,250,550,360,310,530,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,248,57,0,0,0
"GREEN GRAM, whole",10.4,24,1.3,3.5,4.1,56.7,334,124,326,4.4,127,28,843,0.39,2.47,0.3,3,0.01,188,12,94,0.47,0.27,2.1,0,0,0,0,167,3.84,170,460,60,350,80,200,510,350,320,500,100,60,0.4,0.05,0,0,0,0.45,0,0.05,0.05,0.6,0.2,0.8,3,148,46,16.7,14.7,2
"GREEN GRAM, dhal",10.1,24.5,1.2,3.5,0.8,59.9,348,75,405,3.9,122,27.2,1150,0.39,1.02,0.45,2.8,0.01,214,25,49,0.47,0.21,2.4,0,24.5,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209,52,8.2,6.5,1.7
"HORSE GRAM, whole",11.8,22,0.5,3.2,5.3,57.2,321,287,311,6.77,156,11.5,762,1.81,1.57,0.75,2.8,0.02,181,8,71,0.42,0.2,1.5,0,0,0,1,0,3.52,190,520,70,380,70,230,540,370,390,530,0,130,0,0,0,0,0,0,0,0,0,0,0,0,417,114,37,0,0,0
"KHESARI, dhal",10,28.2,0.6,2.3,2.3,56.6,345,90,317,6.3,92,37.7,644,0.77,0,0,0,0,144,36,120,0.39,0.17,2.9,0,0,0,0,0,4.51,160,470,50,260,30,140,410,410,250,490,0,70,0,0,0,0,0,0,0,0,0,0,0,0,122,108,31,0,0,0
LENTIL,12.4,25.1,0.7,2.1,0.7,59,343,69,293,7.58,80,40.1,629,1.87,1.04,0.17,2.8,0.02,104,19,270,0.45,0.2,2.6,0,14.5,36,0,299,4.02,160,440,60,270,50,220,470,270,310,540,200,70,0.2,0.04,0,0.04,0,0.3,0,0.4,0.4,0.8,0.16,0.96,14,100,34,15.8,13.5,2.3
MOTH BEANS,10.8,23.6,1.1,3.5,4.5,56.5,330,202,230,9.5,225,29.5,1096,0.85,0,0,0,0,180,9,9,0.45,0.09,1.5,0,0,0,2,0,3.78,210,340,40,280,60,0,420,310,200,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,0,0,0
PEAS green,72.9,7.2,0.1,0.8,4,15.9,93,20,139,1.5,34,7.8,79,0.23,0,0,0,0,95,20,83,0.25,0.01,0.8,0,0,0,9,20,1.15,130,400,60,250,60,240,380,290,290,570,220,80,0.2,0.06,0,0,0,0.26,0,0.4,0.4,0.8,0.15,0.95,14,55,40,8.6,7.2,1.4
PEAS dry,16,19.7,1.1,2.2,4.5,56.5,315,75,298,7.05,100,20.4,725,1.29,0.58,0.64,2.3,0.03,189,59,39,0.47,0.19,3.4,0,4.6,7.5,0,235,3.15,130,440,60,280,50,240,430,280,300,570,170,70,0,0,0,0,0,0,0,0,0,0,0,0,0,135,45,0,0,0
PEAS roasted,10.1,22.9,1.4,2.4,4.4,58.8,340,81,345,6.4,122,14.7,750,1.32,0,0,0,0,200,73,18,0.47,0.21,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,40,0,0,0
RAJMAH,12,22.9,1.3,3.2,4.8,60.6,346,260,410,5.1,184,0,0,1.45,1.6,0,4.5,0.03,0,0,0,0,0,0,0,0,0,0,0,3.66,180,460,60,340,60,270,470,300,330,370,100,40,0.3,0.04,0,0.03,0,0.4,0,0.2,0.2,0.5,0.7,1.2,0,0,0,0,0,0
"REDGRAM, dhal",13.4,22.3,1.7,3.5,1.5,57.6,335,73,304,2.7,90,28.5,1104,1.2,0.69,0.28,0.9,0,177,5,132,0.45,0.19,2.9,0.54,19,103,0,183,3.57,250,480,40,460,60,200,450,250,260,360,130,60,0.4,0.08,0,0,0,0.48,0,0.1,0.1,1,0.1,1.1,9,170,56,9.1,6.8,2.3
REDGRAM (tender),65.1,9.8,1,1,6.2,16.9,116,57,164,1.1,58,93,463,0.4,0,0,0,0,494,22,469,0.32,0.33,3,0,0,0,25,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
SOYABEAN,8.1,43.2,19.5,4.6,3.7,20.9,432,240,690,10.4,175,0,0,1.12,2.11,0,3.4,0.03,0,0,426,0.73,0.39,3.2,0,8.65,100,0,0,6.91,150,400,80,300,80,240,480,320,320,450,210,100,1.4,0.8,0,0,0,2.2,0,5.4,5.4,10.4,1.4,11.8,0,0,0,23,17.9,5.1
