name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
KOVAI,93.5,1.2,0.1,0.5,1.6,3.1,18,40,30,0.38,36,0,0,0.07,0.22,0,0.26,0,0,0,156,0.07,0.08,0.7,0,18,59,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,1
KNOL-KHOL,92.7,1.1,0.2,0.7,1.5,3.8,21,20,35,1.54,32,112,37,0.05,0.11,0,0.24,0.02,143,67,21,0.05,0.09,0.5,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
LADIES FINGERS (OKRA),89.6,1.9,0.2,0.7,1.2,6.4,35,66,56,0.35,53,6.9,103,0.11,0.15,0,0.42,0.01,30,41,52,0.07,0.1,0.6,0,25.3,105.1,13,0,0.3,110,210,40,140,80,140,240,150,190,230,270,60,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3.6,2.6,1
LAKUCH.raw,89.4,1.6,1.2,1.1,2.8,13.9,73,67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEEKS,78.9,1.8,0.1,0.7,1.3,17.2,77,50,70,2.3,0,0,0,0,0,0,0,0,0,0,18,0.23,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOTUSSTEM,dry",9.5,4.1,1.3,8.7,25,51.4,234,405,128,60.6,168,438,3007,1.22,0,0,0,0,258,444,0,0.82,21,1.9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0
"MANGO,green",87.5,0.7,0.1,0.4,1.2,10.1,44,10,19,0.33,16,43,83,0.03,0.07,0,0.07,0.05,15,2,90,0.04,0.01,0.2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,26,3,1.4,1.6
ONIONSTALKS,87.6,0.9,0.2,0.8,1.6,8.9,41,50,50,7.43,104,2.2,109,0.45,0.74,0,2.29,0.39,33,7,595,0,0.03,0.3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,38,5.1,3.7,1.4
"PAPAYA,green",92,0.7,0.2,0.5,0.9,5.7,27,28,40,0.9,0,23,216,0,0,0,0,0,0,0,0,0.01,0.01,0.1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARWAR,92,2,0.3,0.5,3,2.2,20,30,40,1.7,9,2.6,83,1.11,0,0,0,0,17,4,153,0.05,0.06,0.5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,20,0,0,0
PINKBEANS,86.8,3.1,0.4,0.6,2.1,7,44,54,70,1.5,0,32.2,117,0.13,0,0,0,0,182,47,453,0.06,0.02,0.6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,0,0,0
PLANTAINfIower,89.9,1.7,0.7,1.3,1.3,5.1,34,32,42,1.6,54,20.1,185,0.1,0,0,0,0,68,68,27,0.05,0.02,0.4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0
PLANTAlNgreen,83.2,1.4,0.2,0.5,0.7,14,64,10,29,6.27,13,15,193,0.03,0.3,0,0.05,0,15,6,30,0.05,0.02,0.3,0,1.6,16.4,24,0,0.22,280,350,40,280,40,170,340,320,280,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,11,37,3.5,2.6,0.9
PLANTAlNstem,88.3,0.5,0.1,0.6,0.8,9.7,42,10,10,1.1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUMPKlNfruit,92.6,1.4,0.1,0.6,0.7,4.6,25,10,30,0.44,38,5.6,139,0.05,0.05,0,0.26,0.01,16,4,50,0.06,0.04,0.5,0,3,13,2,136,0.2,100,270,70,210,50,170,330,230,300,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUMPKlNflowers,89.1,2.2,0.8,1.4,0.7,5.8,39,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIDGEGOURD,95.2,0.5,0.1,0.3,0.5,3.4,17,18,26,0.39,32,2.9,50,0.08,0.07,0,0.38,0,14,7,33,0,0.01,0.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,28,1.9,1.4,0.5
SNAKEGOURD,94.6,0.5,0.3,0.5,0.8,3.3,18,26,20,1.51,28,25.4,34,0.27,0.14,0,0.31,0,35,21,96,0.04,0.06,0.3,0,7.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2.1,1.6,0.5
"SUNDAKAl,dry",12.3,8.3,1.7,5.1,17.6,55,269,390,180,22.2,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWORDBEANS,87.2,2.7,0.2,0.6,1.5,7.8,44,60,40,2,0,29,1800,0,0,0,0,0,0,0,24,0.08,0.08,0.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TINDA,tander",93.5,1.4,0.2,0.5,1,3.4,21,25,24,0.9,14,35,24,0.12,0,0,0,0,0,44,13,0.04,0.08,0.3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TOMATO, green",93.1,1.9,0.1,0.6,0.7,3.6,23,20,36,1.8,15,45.8,114,0.19,0,0,0,0,24,38,192,0.07,0.01,0.4,0,0,0,31,0,0.3,50,160,20,150,50,190,210,420,270,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.7,1.2,0.5
VEGETABLE marrow,94.8,0.5,0.1,0.3,0.8,3.5,17,10,30,0.6,13,27.3,94,0.22,0,0,0,0,11,9,0,0.02,0,0.4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
WATER CHESTNUT FRESH,70,4.7,0.3,1.1,0.6,23.3,115,20,150,1.35,72,0,0,1.31,0.85,0,1.56,0.01,0,0,12,0.05,0.07,0.6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WATER CHESTNUT,dry",13.8,13.4,0.8,3.1,0,68.9,330,70,440,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMOND,5.2,20.8,58.9,2.9,1.7,10.5,655,230,490,5.09,373,0,0,0.97,1.88,0,3.57,0.16,0,0,0,0.24,0.57,4.4,0,0,0,0,0,3.33,140,160,50,300,100,170,450,250,310,660,180,50,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0
ARECANUT,31.3,4.9,4.4,1,11.2,47.2,249,50,130,1.5,66,0,0,0.92,1.46,0,0.81,0.47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVOCADOPEAR  (nut),63.7,2.5,0.7,1.1,0,32,144,20,80,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASHEWNUT,5.9,21.2,46.9,2.4,1.3,22.3,596,50,450,5.81,349,0,0,1.66,1.42,0,5.99,0.16,0,0,60,0.63,0.19,1.2,0,0,0,0,0,3.39,130,290,110,270,90,200,510,320,360,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0
CHILGOZA,4,13.9,49.3,2.8,1,29,615,91,494,3.6,0,0,0,0,0,0,0,0,0,0,0,0.32,0.3,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONUT dry,4.3,6.8,62.3,1.6,6.6,18.4,662,400,210,7.8,0,0,0,1,6.24,0.02,5,0,0,0,0,0.08,0.01,3,0,15.3,16.5,7,0,1.09,130,240,70,280,100,180,430,240,320,850,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONUT fresh,36.3,4.5,41.6,1,3.6,13,444,10,240,1.7,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.8,0,11.7,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,36,0,3.2,3.2,0.6,0,0.6,0,0,0,13.6,12.7,0.9
COCONUT tender,90.8,0.9,1.4,0.6,0,6.3,41,10,30,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONUT milk,42.8,3.4,41,0.9,0,11.9,430,15,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0.08,0.04,0.6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONUT water,93.8,1.4,0.1,0.3,0,4.4,24,24,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COCONUT meal,deoiled",8.7,23.8,2.8,7,9.8,47.9,312,112,646,69.4,355,72.5,2003,0,0,0,0,0,431,374,0,0.13,0.57,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,44,0,0,0
GARDEN CRESS seeds,3.2,25.3,24.5,6.4,7.6,33,454,377,723,100,430,0,0,0,0,0,0,0,1,41,27,0.59,0.61,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,442,61,0,0,0
GINGELLYSEEDS,5.3,18.3,43.3,5.2,2.9,25,563,1450,570,9.3,0,0,0,2.29,1.32,0.2,12.2,0.09,0,0,60,1.01,0.34,4.4,0,51,134,0,0,2.93,170,170,80,370,180,230,500,250,290,750,230,120,4,1.6,0,0,0,6,0,18,18,16,0.4,16.4,1700,0,0,16.8,13.6,3.2
GROUNDNUT,3,25.3,40.1,2.4,3.1,26.1,567,90,350,2.5,0,0,0,0.9,1.1,0.17,3.9,0.05,0,0,37,0.9,0.13,19.9,0,16,20,0,224,4.05,140,230,60,310,60,170,400,240,280,690,240,80,3.5,1.7,0,0,0,8.8,0,21,21,10,0.2,10.2,0,0,0,11,8.5,2.5
GROUNDNUTroasted,1.7,26.2,39.8,2.5,3.1,26.7,570,77,370,3.1,0,0,0,0,0,0,0,0,0,0,0,0.39,0.13,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROUNDNUTcake,7.2,40.9,7.4,2.5,3.2,38.8,386,213,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINSEEDSEEDS,6.5,20.3,37.1,2.4,4.8,28.9,530,170,370,2.7,0,0,0,0,0,0,0,0,0,0,30,0.23,0.07,1,0,0,0,0,0,3.25,120,230,100,270,100,210,360,310,320,560,180,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSTARDSEEDS,8.5,20,39.7,4.2,1.8,23.8,541,490,700,7.9,0,0,0,0.83,2.56,0.09,4.8,0.63,0,0,162,0.65,0.26,4,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,2,0,5,27,5,3.5,8.5,0,0,0,13.6,10.2,3.4
NIGERSEEDS,4.2,23.9,39,4.9,10.9,17.1,515,300,224,56.7,0,0,0,0,0,0,0,0,0,0,0,0.07,0.97,8.4,0,0,0,0,0,3.82,140,230,0,300,90,210,380,250,320,660,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PISTACHIONUT,5.6,19.8,53.5,2.8,2.1,16.2,626,140,430,7.7,0,0,0,0,0,0,0,0,0,0,144,0.67,0.28,2.3,0,0,0,0,0,3.17,140,320,60,320,80,200,550,300,370,590,190,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIYALSEEDS,3,19,59.1,3,3.8,12.1,656,279,528,8.5,373,10.2,436,0.86,0,0,0,0,186,25,0,0.69,0.53,1.5,0,0,0,5,0,3.04,170,240,70,330,100,200,740,350,410,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,158,30,0,0,0
SAFFLOWERSEEDS,5.5,13.5,25.6,2.6,34.9,17.9,356,236,823,4.6,0,0,0,1.58,1.1,0.05,5.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNFLOWERSEEDS,5.5,19.8,52.1,3.7,1,17.9,620,280,670,5,0,0,0,0,0,0,0,0,0,0,0,0.86,0.2,4.5,0,0,0,1,0,3.17,150,230,90,280,120,230,400,270,320,500,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALNUT,4.5,15.6,64.5,1.8,2.6,11,687,100,380,2.64,302,0,0,1.67,2.62,0,2.32,0.1,0,0,6,0.45,0.4,1,0,0,0,0,0,2.5,120,100,60,260,80,170,470,240,280,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WATER MELON seeds kernal,4.3,34.1,52.6,3.7,0.8,4.5,628,100,937,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,130,170,90,270,160,140,400,310,260,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARISITHIPPILI,12.5,13.2,4.7,6,5.2,58.4,329,460,325,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,0,0,0
ASAFOETIDA,16,4,1.1,7,4.1,67.8,297,690,50,39.4,80,0,0,0.43,1.12,0,0.83,0.08,0,0,4,0,0.04,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDAMOM,20,10.2,2.2,5.4,20.1,42.1,229,130,160,4.6,173,0,0,0.47,8.92,0,2.81,0.03,0,0,0,0.22,0.17,0.8,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20.4,2.6
CHILLIES dry,10,15.9,6.2,6.1,30.2,31.6,246,160,370,2.3,0,14,530,0,0,0,0,0,0,0,345,0.93,0.43,9.5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.34,2.54,0,0,0,0,1.8,1.9,9.1,0.26,9.36,0,71,19,0,0,0
CHILLIES green,85.7,2.9,0.6,1,6.8,3,29,30,80,4.4,272,0,0,1.4,1.38,0.07,1.78,0.04,0,0,175,0.19,0.39,0.9,0,6,29,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,7,9,0,0,0
CLOVES dry,25.2,5.2,8.9,5.2,9.5,46,286,740,100,11.7,130,0,0,1.01,4.75,0,1.47,0.06,0,0,253,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,28.9,6.2
CLOVES green,65.5,2.3,5.9,2.2,0,24.1,159,310,40,2.1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORIANDER,11.2,14.1,16.1,4.4,32.6,21.6,288,630,393,7.1,239,32,990,1.01,1.67,0,3.26,0.05,0,0,942,0.22,0.35,1.1,0,27.4,32,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,81,47.4,42.5,4.9
CUMIN SEEDS,11.9,18.7,15,5.8,12,36.6,356,1080,511,11.7,475,126,980,0.71,1.02,0,2.66,0,0,0,522,0.55,0.36,2.6,0,0,0,3,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.08,0.38,0,0,0,0,4.7,4.7,2.1,0.48,2.58,0,153,30,30,25.2,4.8
FENUGREEK SEEDS,13.7,26.2,5.8,3,7.2,44.1,333,160,370,6.5,124,19,530,0.71,1.03,0,3.08,0.06,0,0,96,0.34,0.29,1.1,0,14.5,84,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,41,48.6,28.6,20
GARLIC dry,62,6.3,0.1,1,0.8,29.8,145,30,310,1.2,71,0,0,0.63,0.86,0,1.93,0.02,0,0,0,0.06,0.23,0.4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2.6,2.5
GINGER fresh,80.9,2.3,0.9,1.2,2.4,12.3,67,20,60,3.5,405,0,0,0.74,5.56,0,1.93,0.06,0,0,40,0.06,0.03,0.6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.7,1.3
LIME PEEL,66.5,1.8,0.5,1.8,0,29.4,129,710,60,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACE,15.9,6.5,24.4,1.6,3.8,47.8,437,180,100,12.3,213,0,0,1.56,1.54,0,1.26,0.04,0,0,3027,0.25,0.42,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANGO POWDER,6.8,2.8,7.8,4.9,13.7,64,337,180,16,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUTMEG FRUIT,14.3,7.5,36.4,1.7,11.6,28.5,472,120,240,2.03,229,0,0,0.71,1.78,0,1.22,0.23,0,0,0,0.33,0.01,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUTMEG RIND,86.8,1,0.4,0.6,0,11.2,52,40,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMUM,7.4,17.1,21.8,7.9,21.2,24.6,363,1525,443,12.5,141,0,0,0.96,3.4,0,4.52,0.06,0,0,71,0.21,0.28,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,67,47.2,43.9,3.3
PEPPER DRY (black),18.2,11.5,6.8,4.4,14.9,49.2,304,460,198,12.4,171,0,0,1.42,4.14,0,1.31,0.07,0,0,1080,0.09,0.14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,58,35.3,32.4,2.9
PEPPER GREEN,70.6,4.8,2.7,1.8,6.4,13.7,98,270,70,2.4,0,0,0,0,0,0,0,0,0,0,540,0.05,0.04,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIPPALI,12.2,6.4,2.3,4.8,8.5,65.8,310,1230,190,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PoPPY SEEDS,4.3,21.7,19.3,9.9,8,36.8,408,1584,432,15.9,257,0,0,0.63,4.31,0,4.34,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,22.4,11.2
TAMARIND PULP,20.9,3.1,0.1,2.9,5.6,67.4,283,170,110,17,41,0,0,0.2,0.55,0,0,0.06,0,0,60,0,0.07,0.7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURMERIC,13,6.3,5.1,3.5,2.6,69.4,349,150,282,67.8,278,0,0,0.39,8.38,0,2.72,0.07,0,0,30,0.03,0,2.3,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,34,20,17.6,2.4
AMBADA,90.3,0.7,3,0.5,1,4.5,48,36,11,3.9,0,0,0,0,0,0,0,0,0,0,270,0.02,0.02,0.3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMLA,81.8,0.5,0.1,0.5,3.4,13.7,58,50,20,1.2,0,5,225,0,0,0,0,0,0,0,9,0.03,0.01,0.2,0,0,0,600,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,7.3,5.8,1.5
APPLE,84.6,0.2,0.5,0.3,1,13.4,59,10,14,0.66,7,28,75,0.1,0.14,0,0.06,0.01,7,1,0,0,0,0,0,0,0,1,321,0.03,120,370,60,160,50,230,390,220,250,170,90,80,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.2,2.3,0.9
APRICOT fresh,85.3,1,0.3,0.7,1.1,11.6,53,20,25,2.2,0,0,430,0.11,0,0,0,0,0,0,2160,0.04,0.13,0.6,0,0,0,6,0,0.16,100,180,0,100,30,130,180,110,150,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APRICOT dry,19.4,1.6,0.7,2.8,2.1,73.4,306,110,70,4.6,0,0,0,0,0,0,0,0,0,0,58,0.22,0,2.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVOCADO PEAR,73.6,1.7,22.8,1.1,0,0.8,215,10,80,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,110,310,60,220,90,180,340,210,290,210,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAEL FRUIT,61.5,1.8,0.3,1.7,2.9,31.8,137,85,50,0.6,0,0,600,0.21,0,0,0,0,0,0,55,0.13,0.03,1.1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BANANA, ripe",70.1,1.2,0.3,0.8,0.4,27.2,116,17,36,0.36,41,36.6,88,0.16,0.2,0,0.15,0,7,8,78,0.05,0.08,0.5,0,0,0,7,0,0.19,370,270,70,260,80,190,320,250,260,360,160,170,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1.8,1.1,0.7
BANYAN TREE FIGS,74.1,1.7,2,1.9,8.5,11.8,72,364,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILIMBI,94.4,0.5,0.3,0.3,1,3.5,19,15,10,1.2,0,0,130,0.05,0,0,0,0,0,0,18,0.09,0.04,0.6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREAD FRUIT,79.5,1.5,0.2,0.9,2.1,15.8,71,40,30,0.5,0,0,0,0,0,0,0,0,0,0,9,0.04,0.07,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BULLOCK, AOS HEART",76.8,1.4,0.2,0.7,5.2,15.7,70,10,10,0.6,0,0,0,0,0,0,0,0,0,0,67,0,0.07,0.6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPE GOOSEBERRY,82.9,1.8,0.2,0.8,3.2,11.1,53,10,67,2,31,0.9,320,0.19,0,0,0,0,43,12,1428,0.05,0.02,0.3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,27,0,0,0
CASHEW FRUIT,86.3,0.2,0.1,0.2,0.9,12.3,51,10,10,0.2,0,0,0,0,0,0,0,0,0,0,23,0.02,0.05,0.4,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
